option,tt,tb,TBase,Base,toe,heel,DB,spacing,stem_height,d,Mstem,Mtoe,Mheel,FSot,FSsl,FSbc,known_checks_only,complete_WSD
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,20,0.2000000000,4.5500000000,0.3650000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,False,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,20,0.2500000000,4.5500000000,0.3650000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,False,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,25,0.1000000000,4.5500000000,0.3625000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,25,0.1500000000,4.5500000000,0.3625000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,25,0.2000000000,4.5500000000,0.3625000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,25,0.2500000000,4.5500000000,0.3625000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,28,0.1000000000,4.5500000000,0.3610000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,28,0.1500000000,4.5500000000,0.3610000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,28,0.2000000000,4.5500000000,0.3610000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,28,0.2500000000,4.5500000000,0.3610000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,12,0.1000000000,4.5000000000,0.4190000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,False,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,12,0.1500000000,4.5000000000,0.4190000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,False,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,12,0.2000000000,4.5000000000,0.4190000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,False,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,12,0.2500000000,4.5000000000,0.4190000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,False,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,16,0.1000000000,4.5000000000,0.4170000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,16,0.1500000000,4.5000000000,0.4170000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,False,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,16,0.2000000000,4.5000000000,0.4170000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,False,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,16,0.2500000000,4.5000000000,0.4170000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,False,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,20,0.1000000000,4.5000000000,0.4150000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,20,0.1500000000,4.5000000000,0.4150000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,20,0.2000000000,4.5000000000,0.4150000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,20,0.2500000000,4.5000000000,0.4150000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,False,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,25,0.1000000000,4.5000000000,0.4125000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,25,0.1500000000,4.5000000000,0.4125000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,25,0.2000000000,4.5000000000,0.4125000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,25,0.2500000000,4.5000000000,0.4125000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,28,0.1000000000,4.5000000000,0.4110000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,28,0.1500000000,4.5000000000,0.4110000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,28,0.2000000000,4.5000000000,0.4110000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
5,0.2500000000,0.5000000000,0.5000000000,3.0000000000,0.6000000000,1.9000000000,28,0.2500000000,4.5000000000,0.4110000000,9.1125000000,1.7531109704,7.5799034316,3.2687054074,1.9056400000,1.5558404835,True,UNVERIFIED
6,0.2500000000,0.6000000000,0.6000000000,3.5000000000,0.6000000000,2.3000000000,12,0.1000000000,4.4000000000,0.5190000000,8.5184000000,1.4775993999,7.6602890203,4.4972698926,2.2734218182,1.8074034400,True,UNVERIFIED
6,0.2500000000,0.6000000000,0.6000000000,3.5000000000,0.6000000000,2.3000000000,12,0.1500000000,4.4000000000,0.5190000000,8.5184000000,1.4775993999,7.6602890203,4.4972698926,2.2734218182,1.8074034400,False,UNVERIFIED
6,0.2500000000,0.6000000000,0.6000000000,3.5000000000,0.6000000000,2.3000000000,12,0.2000000000,4.4000000000,0.5190000000,8.5184000000,1.4775993999,7.6602890203,4.4972698926,2.2734218182,1.8074034400,False,UNVERIFIED
6,0.2500000000,0.6000000000,0.6000000000,3.5000000000,0.6000000000,2.3000000000,12,0.2500000000,4.4000000000,0.5190000000,8.5184000000,1.4775993999,7.6602890203,4.4972698926,2.2734218182,1.8074034400,False,UNVERIFIED
6,0.2500000000,0.6000000000,0.6000000000,3.5000000000,0.6000000000,2.3000000000,16,0.1000000000,4.4000000000,0.5170000000,8.5184000000,1.4775993999,7.6602890203,4.4972698926,2.2734218182,1.8074034400,True,UNVERIFIED
